World Rank,Location,Institution,Handle,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Research Performance,Score
1851,USA,College of Staten Island,csinews,336,-,-,-,1770,66.3
942,USA,College of the Holy Cross,holy_cross,214,175,48,-,-,70.6
557,USA,College of William & Mary,williamandmary,151,-,94,-,706,73.6
475,USA,Colorado School of Mines,coschoolofmines,134,-,58,-,735,74.4
252,USA,Colorado State University,ColoradoStateU,87,451,1243,205,248,77.6
6,USA,Columbia University,Columbia,4,11,14,10,15,92.6
1613,USA,Cooper Union,cooperunion,309,52,551,-,-,67.3
13,USA,Cornell University,Cornell,11,13,28,17,24,89.8
982,USA,Creighton University,Creighton,219,-,-,-,935,70.4
36,USA,Dartmouth College,dartmouth,23,54,16,93,263,85.9
1385,USA,DePaul University,DePaulU,276,380,487,-,1386,68.3
1750,USA,Drew University,DrewUniversity,326,-,872,124,-,66.7
347,USA,Drexel University,DrexelUniv,110,-,273,232,390,76
20,USA,Duke University,DukeU,16,61,51,16,21,88.2
1840,USA,Duquesne University,duqedu,334,-,820,-,1784,66.4
834,USA,East Carolina University,EastCarolina,193,-,722,-,800,71.3
1707,USA,East Tennessee State University,etsu,323,-,-,-,1623,66.9
1454,USA,Eastern Virginia Medical School,EVMSedu,286,-,-,-,1383,68
1842,USA,Embry-Riddle Aeronautical University,EmbryRiddle,335,-,-,-,1760,66.4
121,USA,Emory University,emoryuniversity,54,471,223,-,63,81
1391,USA,Fairfield University,FairfieldU,278,-,521,-,1381,68.2
1817,USA,Florida Agricultural and Mechanical University,FAMU_1887,330,-,-,-,1739,66.5
1050,USA,Florida Atlantic University,FloridaAtlantic,230,-,-,-,1008,70
954,USA,Florida Institute of Technology,FloridaTech,216,-,663,-,924,70.6
466,USA,Florida International University,FIU,130,-,1321,-,439,74.5
274,USA,Florida State University,floridastate,92,-,553,-,222,77.2
1020,USA,Fordham University,FordhamNYC,225,-,200,-,1115,70.2
1739,USA,Franklin & Marshall College,FandMCollege,325,111,894,-,-,66.8
452,USA,George Mason University,"GeorgeMasonU",128,-,1358,237,471,74.7
